date,region,source,metric_type,value,day_of_week,is_weekend,month,year,week_of_year,day_of_year,lag_1,lag_7,lag_14,rolling_7_mean,rolling_7_std,rolling_30_mean,rolling_30_std,pct_change_1,zscore_30,city,isolation_flag,is_zscore_anomaly,is_anomaly
2020-05-19,Ile-de-France,idfm_station_daily,validations,1210959.0,1,0,5,2020,21,140,1137442.0,987643.0,306490.0,943214.2857142857,274207.9670696732,428552.43333333335,366778.52507561265,0.06463362527495908,2.1331853235010714,Paris,-1,False,True
2020-03-17,Ile-de-France,idfm_station_daily,validations,803177.0,1,0,3,2020,12,77,2033263.0,5872581.0,6101983.0,3295926.4285714286,2229589.6612339374,4571142.5,1779474.230065061,-0.6049812542696149,-2.117459998205333,Paris,-1,False,True
2020-06-09,Ile-de-France,idfm_station_daily,validations,2318976.0,1,0,6,2020,24,161,2134743.0,1942813.0,1397021.0,1850555.4285714286,487608.90903218446,1246011.8,506749.1240307834,0.08630219187977195,2.1173479126425105,Paris,-1,False,True
2015-03-23,Ile-de-France,idfm_station_daily,validations,106469.0,0,0,3,2015,13,82,25741.0,5199540.0,5187265.0,3099648.714285714,2841870.459700837,3983944.066666667,1832093.3373733605,3.136164096188959,-2.1164178634183197,Paris,-1,False,True
2020-06-03,Ile-de-France,idfm_station_daily,validations,1958824.0,2,0,6,2020,23,155,1942813.0,1417138.0,1229345.0,1364218.2857142857,482511.166545565,927488.8666666667,492837.0067133159,0.008241143125972572,2.092649535819583,Paris,-1,False,True
2020-03-18,Ile-de-France,idfm_station_daily,validations,388708.0,2,0,3,2020,12,78,803177.0,5753332.0,5911608.0,2529551.5714285714,2165186.0675316663,4426210.3,1935730.5038265812,-0.5160369383087414,-2.085777070733041,Paris,-1,False,True
2022-09-05,Ile-de-France,idfm_station_daily,validations,5174439.0,0,0,9,2022,36,248,2269064.0,4015036.0,3423457.0,4123860.1428571427,1019398.5469666935,3232318.2333333334,938411.735943394,1.2804288464318327,2.069582777238218,Paris,-1,False,True
2024-07-30,Ile-de-France,idfm_station_daily,validations,883997.0,1,0,7,2024,31,212,897285.0,849398.0,828178.0,858398.8571428572,26726.29652391974,810300.1333333333,35986.417297096836,-0.01480911861894496,2.0479078552955063,Paris,-1,False,True
2021-09-06,Ile-de-France,idfm_station_daily,validations,4575604.0,0,0,9,2021,36,249,2047328.0,3477347.0,3013940.0,3727565.0,928076.6029076814,2892121.8666666667,823924.0240292872,1.2349149721002202,2.043249236865913,Paris,-1,False,True
2016-12-08,Ile-de-France,idfm_station_daily,validations,134360.0,3,0,12,2016,49,343,154582.0,5851551.0,6226055.0,2574813.8571428573,2604752.091083371,4461771.033333333,2128023.9611453125,-0.1308173008500343,-2.0335349189415615,Paris,-1,False,True
2024-08-01,Ile-de-France,idfm_station_daily,validations,899838.0,3,0,8,2024,31,214,888077.0,835336.0,804967.0,874680.7142857143,26154.73061699294,818521.8333333334,40019.21044011018,0.01324322102700548,2.031928310738625,Paris,-1,False,True
2020-06-04,Ile-de-France,idfm_station_daily,validations,2037945.0,3,0,6,2020,23,156,1958824.0,1433129.0,677738.0,1450620.5714285714,546779.0030730381,985204.0333333333,518329.6500714817,0.04039209239829611,2.0310259436663243,Paris,-1,False,True
2020-01-08,Ile-de-France,idfm_station_daily,validations,3011748.0,2,0,1,2020,2,8,3006474.0,256883.0,341569.0,2009605.7142857143,966945.4142550535,1470071.8,761034.0145499937,0.0017542144053133146,2.0257651701831056,Paris,-1,False,True
2017-12-25,Ile-de-France,idfm_station_daily,validations,1374046.0,0,0,12,2017,52,359,1793264.0,6033729.0,5973250.0,4411087.285714285,2267481.752831304,5017440.433333334,1799681.0263193937,-0.2337737221067283,-2.024466769416689,Paris,-1,False,True
2024-07-04,Ile-de-France,idfm_station_daily,validations,763209.0,3,0,7,2024,27,186,757375.0,6404787.0,6481383.0,2355131.4285714286,2158707.679438123,4860472.533333333,2043550.2949644178,0.007702921274137742,-2.004973179974841,Paris,-1,False,True
2024-08-02,Ile-de-France,idfm_station_daily,validations,906384.0,4,0,8,2024,31,215,899838.0,825886.0,797141.0,886180.4285714285,17334.405980472715,823488.8,41391.853809523265,0.0072746427690317805,2.002693582690606,Paris,-1,False,True
2020-03-14,Manhattan,mta_station_daily,ridership,770046.0,5,1,3,2020,11,74,1698839.0,1510758.0,1577710.0,1926972.142857143,746946.8301386256,2356677.1666666665,792765.8062170945,-0.546722202633681,-2.0013869849378647,NYC,-1,False,True
2023-09-04,Ile-de-France,idfm_station_daily,validations,5031566.0,0,0,9,2023,36,247,2347316.0,4114831.0,3537310.0,4101206.4285714286,941433.0858196748,3274416.1333333333,887450.7346587838,1.1435401113441905,1.9799970838294183,Paris,-1,False,True
2023-03-07,Ile-de-France,idfm_station_daily,validations,2035534.0,1,0,3,2023,10,66,5845506.0,5197561.0,5619852.0,4195928.0,1476365.7387440752,4745889.633333334,1372172.9996982443,-0.651777964131762,-1.9752288041882258,Paris,-1,False,True
2020-05-20,Ile-de-France,idfm_station_daily,validations,1229345.0,2,0,5,2020,21,141,1210959.0,1002397.0,322902.0,975635.4285714285,295000.09426133777,462132.3,392429.3760334245,0.015183007847499486,1.9550338146312827,Paris,-1,False,True
2016-09-05,Ile-de-France,idfm_station_daily,validations,5119980.0,0,0,9,2016,36,249,1791273.0,3865233.0,3497504.0,3925944.1428571427,1220389.6410233802,3097492.2333333334,1036093.1952088085,1.8582912822333615,1.952032670438556,Paris,-1,False,True
2018-12-25,Ile-de-France,idfm_station_daily,validations,1484342.0,1,0,12,2018,52,359,2991819.0,6389847.0,5873893.0,4073123.1428571427,2119419.399439027,4984196.333333333,1792942.8158126753,-0.5038663769432576,-1.9520167082110633,Paris,-1,False,True
2024-07-31,Ile-de-France,idfm_station_daily,validations,888077.0,2,0,7,2024,31,213,883997.0,838606.0,819891.0,865466.1428571428,27157.499987142026,814179.0333333333,37903.83080814585,0.004615400278507709,1.949617362970747,Paris,-1,False,True
2019-12-07,Ile-de-France,idfm_station_daily,validations,782308.0,5,1,12,2019,49,341,1301600.0,4138408.0,3954505.0,3561300.714285714,2879750.9455639673,5093127.233333333,2212911.3993564267,-0.3989643515673018,-1.94803065074681,Paris,-1,False,True
2024-09-14,Ile-de-France,idfm_station_daily,validations,736718.0,5,1,9,2024,37,258,736172.0,807937.0,835108.0,764637.1428571428,36087.170456341,814474.7666666667,39989.45819382905,0.000741674499981082,-1.944431612195879,Paris,-1,False,True
2020-06-05,Ile-de-France,idfm_station_daily,validations,2086482.0,4,0,6,2020,23,157,2037945.0,1465776.0,1088877.0,1539292.857142857,597613.9108658743,1043990.0333333333,540172.3390632061,0.023816638819987856,1.9299247504502144,Paris,-1,False,True
2020-06-10,Ile-de-France,idfm_station_daily,validations,2330039.0,2,0,6,2020,24,162,2318976.0,1958824.0,1417138.0,1903586.142857143,520427.9175371768,1295572.0666666667,537755.2822165432,0.004770640144615479,1.9236760056905855,Paris,-1,False,True
2019-12-06,Ile-de-France,idfm_station_daily,validations,1301600.0,4,0,12,2019,49,340,695373.0,7041608.0,6960768.0,4040743.5714285714,2606369.991360069,5296278.266666667,2079229.6643342935,0.871801177209929,-1.9212299320217914,Paris,-1,False,True
2020-06-08,Ile-de-France,idfm_station_daily,validations,2134743.0,0,0,6,2020,24,160,892769.0,982701.0,1296391.0,1796817.857142857,446365.73768463236,1172673.1333333333,505316.79932342964,1.391148214151701,1.903894483529511,Paris,-1,False,True
2019-12-08,Ile-de-France,idfm_station_daily,validations,447401.0,6,1,12,2019,49,342,782308.0,2416588.0,2631429.0,3279988.285714286,3098113.4180325335,4883155.1,2345491.609848287,-0.4281012082197805,-1.8911831026702828,Paris,-1,False,True
2020-03-19,Ile-de-France,idfm_station_daily,validations,356759.0,3,0,3,2020,12,79,388708.0,5795402.0,6068613.0,1752602.5714285714,1730023.3398544716,4260961.0,2064621.0779712053,-0.08219280282371344,-1.8910017153542065,Paris,-1,False,True
2015-11-14,Ile-de-France,idfm_station_daily,validations,1648622.0,5,1,11,2015,46,318,5733268.0,3383541.0,3176252.0,4204354.571428572,1979411.3463742933,4510334.366666666,1515980.7373773367,-0.7124463743889174,-1.887697050569033,Paris,-1,False,True
2023-01-31,Ile-de-France,idfm_station_daily,validations,2041853.0,1,0,1,2023,5,31,5858068.0,6277736.0,6435026.0,4699575.0,1786936.5982287568,4935102.966666667,1536942.933722424,-0.6514460057479701,-1.8824706520881116,Paris,-1,False,True
2021-01-01,Ile-de-France,idfm_station_daily,validations,747621.0,4,0,1,2021,53,1,1846307.0,815634.0,3373968.0,1650894.7142857143,616045.4726044994,2364397.9,863309.5258741311,-0.595072217133987,-1.8727661997740113,Paris,-1,False,True
2020-05-07,Ile-de-France,idfm_station_daily,validations,336899.0,3,0,5,2020,19,128,322902.0,256207.0,234523.0,226343.42857142858,110365.58654086907,199368.63333333333,73763.45365458187,0.04334751720336194,1.8644784083821686,Paris,-1,False,True
2020-05-06,Ile-de-France,idfm_station_daily,validations,322902.0,2,0,5,2020,19,127,306490.0,248713.0,234318.0,214816.0,100683.08647545535,194964.2,69063.4202739963,0.053548239746810555,1.852468347099384,Paris,-1,False,True
2015-09-07,Ile-de-France,idfm_station_daily,validations,5039625.0,0,0,9,2015,37,250,1768519.0,3495608.0,3197424.0,4129347.0,1315745.747255654,3023807.1666666665,1091920.1078459069,1.8496301142368274,1.8461220915787075,Paris,-1,False,True
2020-09-07,Ile-de-France,idfm_station_daily,validations,4121250.0,0,0,9,2020,37,251,1588958.0,3093394.0,2808672.0,3382181.5714285714,975522.0320762986,2551215.7666666666,850995.5679270296,1.5936808902437951,1.8449382023902143,Paris,-1,False,True
2016-12-09,Ile-de-France,idfm_station_daily,validations,123277.0,4,0,12,2016,49,344,134360.0,6028377.0,6246921.0,1731228.142857143,2228971.261771494,4267085.633333334,2249561.9768932885,-0.08248734742482877,-1.8420513308355504,Paris,-1,False,True
2024-08-18,Ile-de-France,idfm_station_daily,validations,784268.0,6,1,8,2024,33,231,792488.0,840559.0,885490.0,820406.4285714285,24491.62893775877,854938.6666666666,38389.79342704022,-0.010372396806008433,-1.8408712409712804,Paris,-1,False,True
2024-09-21,Ile-de-France,idfm_station_daily,validations,702412.0,5,1,9,2024,38,265,729170.0,736718.0,807937.0,738335.4285714285,27240.64156769215,793355.8333333334,49704.06937105581,-0.03669651795877504,-1.8297059875401818,Paris,-1,False,True
2024-09-05,Ile-de-France,idfm_station_daily,validations,785606.0,3,0,9,2024,36,249,801255.0,863898.0,851751.0,821559.8571428572,21802.244140196763,839279.9333333333,29338.26509864334,-0.019530611353439253,-1.8294855934005225,Paris,-1,False,True
2015-11-15,Ile-de-France,idfm_station_daily,validations,1456990.0,6,1,11,2015,46,319,1648622.0,2056740.0,1897927.0,4118676.0,2097331.387209551,4361653.666666667,1590137.6967017087,-0.1162376821369604,-1.8266743016605234,Paris,-1,False,True
2020-11-08,Ile-de-France,idfm_station_daily,validations,502146.0,6,1,11,2020,45,313,938094.0,477891.0,1544383.0,1911365.0,825320.6304517465,2937479.6666666665,1337602.489449466,-0.46471675546373814,-1.8206707043951507,Paris,-1,False,True
2017-09-04,Ile-de-France,idfm_station_daily,validations,4852188.0,0,0,9,2017,36,247,1854485.0,3885387.0,3453042.0,3763475.5714285714,1093804.7344757898,3083761.2,973150.5331863571,1.616461173856893,1.8172181380918468,Paris,-1,False,True
2024-07-05,Ile-de-France,idfm_station_daily,validations,770248.0,4,0,7,2024,27,187,763209.0,6060520.0,6820449.0,1599378.2857142857,1457390.6132713228,4671649.3,2151889.1717297314,0.009222899625135339,-1.8130121900580853,Paris,-1,False,True
2024-04-01,Ile-de-France,idfm_station_daily,validations,2524591.0,0,0,4,2024,14,92,2577697.0,6161214.0,6090756.0,4970229.142857143,1919399.3825343272,5350916.266666667,1562626.6816809818,-0.02060211110925758,-1.8087015278827008,Paris,-1,False,True
2020-05-26,Ile-de-France,idfm_station_daily,validations,1397021.0,1,0,5,2020,22,147,1296391.0,1210959.0,987643.0,997892.8571428572,339949.284858378,615415.5,432288.53192213766,0.0776231862146528,1.8080643882100027,Paris,-1,False,True
2018-09-03,Ile-de-France,idfm_station_daily,validations,4827417.0,0,0,9,2018,36,246,1900809.0,3931012.0,3354867.0,3803219.5714285714,1093562.2830189478,3119452.0,946488.9434679851,1.5396644270939372,1.8045271545824155,Paris,-1,False,True
2024-05-01,Ile-de-France,idfm_station_daily,validations,2777071.0,2,0,5,2024,18,122,6556958.0,6422376.0,5453167.0,5054203.857142857,1721693.6871133114,5163320.133333334,1323228.316308442,-0.576469606790222,-1.803354042475844,Paris,-1,False,True
2020-05-05,Ile-de-France,idfm_station_daily,validations,306490.0,1,0,5,2020,19,126,285107.0,243901.0,233012.0,204217.57142857142,90831.93253573381,191032.8,64751.80273042104,0.07499991231362269,1.7830731366766577,Paris,-1,False,True
2024-09-09,Ile-de-France,idfm_station_daily,validations,784116.0,0,0,9,2024,37,253,836322.0,836568.0,877836.0,803545.4285714285,18352.489232356205,828688.5666666667,25260.68640537306,-0.06242332498726566,-1.76450338487975,Paris,-1,False,True
2020-05-25,Ile-de-France,idfm_station_daily,validations,1296391.0,0,0,5,2020,22,146,514324.0,1137442.0,843231.0,971312.5714285715,309446.1243752533,571715.6,416528.57810438937,1.5205726351482722,1.7397975507418453,Paris,-1,False,True
2020-03-20,Ile-de-France,idfm_station_daily,validations,347788.0,4,0,3,2020,12,80,356759.0,5251465.0,5988616.0,1052077.2857142857,842041.2196166443,4096433.3333333335,2174080.54816841,-0.025145826734574328,-1.724243996613392,Paris,-1,False,True
2016-12-16,Ile-de-France,idfm_station_daily,validations,191483.0,4,0,12,2016,50,351,6212748.0,123277.0,6028377.0,4287937.0,2386940.1150549813,4207025.533333333,2337060.1889787754,-0.9691790170790767,-1.7182024460773533,Paris,-1,False,True
2019-09-02,Ile-de-France,idfm_station_daily,validations,5185890.0,0,0,9,2019,36,245,2109344.0,4255421.0,3725252.0,4133491.714285714,1147987.99388869,3431342.2666666666,1026602.5082729501,1.4585321313166557,1.7090818687799654,Paris,-1,False,True
2024-09-18,Ile-de-France,idfm_station_daily,validations,729376.0,2,0,9,2024,38,262,737397.0,746348.0,801255.0,746837.2857142857,20453.9525594871,806207.0333333333,45132.49834464117,-0.01087745135930851,-1.7023439018738897,Paris,-1,False,True
